Ticker,Current Price,P/E,Forward P/E,PEG Ratio,P/S,EPS LT Growth Est (%),Intrinsic Value,Discount/Premium
AAPL,220.548,34.246586,30.129509,2.3594,9.21  ,10.5,105.69825924608881,-0.5207471423631644
VNM.VN,65600.0,16.646282,14.242911,1.5,2.27,10.2,77329.26667692483,0.178799796904342
